EXECUTIONID,ABSTRACTIONID,ACTIONID,ARENAID,SHEETID,SYSTEMID,VARIANTID,ADAPTERID,X,Y,TYPE,VALUE,RAWVALUE,VALUETYPE,LASTMODIFIED,EXECUTIONTIME
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test6_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant0,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:36.688Z,262677
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test0_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant1,0,0,-1,value,null,null,void,2022-12-22T14:01:36.717Z,149722
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test6_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant1,0,0,1,value,null,null,java.lang.Object,2022-12-22T14:01:35.332Z,152240
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant9,0,-1,-1,mutation.mutator,org.pitest.mutationtest.engine.gregor.mutators.returns.PrimitiveReturnsMutator,,,2022-12-22T14:01:36.348Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test3_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,0,1,value,true,true,boolean,2022-12-22T14:01:36.554Z,263185
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test3_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant9,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:36.297Z,285000
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test6_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant9,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:37.725Z,296845
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_jacoco,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,-1,-1,jacoco_class_line.coveredratio,1.0,,,2022-12-22T14:01:36.469Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test0_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant6,0,0,-1,value,null,null,void,2022-12-22T14:01:35.890Z,173317
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test6_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant2,0,0,-1,value,null,null,java.lang.Object,2022-12-22T14:01:36.914Z,135404
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant6,0,-1,-1,mutation.linenumber,60,,,2022-12-22T14:01:37.373Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_jacoco,all,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,original,0,-1,-1,jacoco_class_branch.missed,0,,,2022-12-22T14:01:34.610Z,0
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test2_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant1,0,0,0,value,_INSTANCE_,miniml.Stack,miniml.Stack,2022-12-22T14:01:36.742Z,290230
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,original_pit,test2_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant2,0,0,1,value,1,1,int,2022-12-22T14:01:35.446Z,254320
cbd8bb29-5199-402a-84a5-5d449455fef9,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,arena,amplified_pit,test2_4e73bb0d-f01f-43e5-bf46-7ab7870a289f,4e73bb0d-f01f-43e5-bf46-7ab7870a289f,mutant6,0,0,1,value,1,1,int,2022-12-22T14:01:37.305Z,157205
